datetime,open,high,low,close,volume
2024-01-02,590.0,593.0,589.0,593.0,27997826.0
2024-01-03,584.0,585.0,576.0,578.0,40134497.0
2024-01-04,580.0,581.0,577.0,580.0,18063758.0
2024-01-05,578.0,580.0,574.0,576.0,22008878.0
2024-01-08,582.0,585.0,579.0,583.0,19270119.0
2024-01-09,588.0,589.0,583.0,586.0,23718766.0
2024-01-10,581.0,586.0,580.0,584.0,13708117.0
2024-01-11,586.0,589.0,583.0,586.0,27842729.0
2024-01-12,581.0,588.0,581.0,584.0,17636558.0
2024-01-15,590.0,590.0,585.0,586.0,21900687.0
2024-01-16,581.0,588.0,579.0,580.0,28889681.0
2024-01-17,583.0,584.0,578.0,581.0,46857735.0
2024-01-18,586.0,589.0,585.0,588.0,36746623.0
2024-01-19,625.0,627.0,614.0,626.0,176166037.0
2024-01-22,633.0,633.0,623.0,626.0,70829523.0
2024-01-23,629.0,629.0,622.0,628.0,45761889.0
2024-01-24,628.0,630.0,624.0,627.0,29905121.0
2024-01-25,635.0,642.0,633.0,642.0,59214638.0
2024-01-26,644.0,646.0,639.0,644.0,44103850.0
2024-01-29,646.0,648.0,644.0,648.0,29828008.0
2024-01-30,642.0,647.0,642.0,642.0,40398877.0
2024-01-31,634.0,637.0,626.0,628.0,47554701.0
2024-02-01,625.0,628.0,619.0,628.0,46924943.0
2024-02-02,633.0,635.0,628.0,635.0,27797894.0
2024-02-05,645.0,647.0,638.0,646.0,48037344.0
2024-02-15,709.0,709.0,693.0,697.0,132263803.0
2024-02-16,697.0,699.0,683.0,683.0,48963167.0
2024-02-19,674.0,682.0,674.0,678.0,36366837.0
2024-02-20,675.0,688.0,675.0,687.0,31403730.0
2024-02-21,678.0,683.0,678.0,681.0,31980543.0
2024-02-22,695.0,695.0,685.0,692.0,34269392.0
2024-02-23,701.0,703.0,696.0,697.0,48404478.0
2024-02-26,700.0,700.0,695.0,698.0,29976379.0
2024-02-27,700.0,701.0,691.0,698.0,35389548.0
2024-02-29,691.0,698.0,688.0,690.0,59337072.0
2024-03-01,697.0,697.0,688.0,689.0,24167721.0
2024-03-04,714.0,725.0,711.0,725.0,97210112.0
2024-03-05,735.0,738.0,728.0,730.0,73299411.0
2024-03-06,718.0,738.0,717.0,735.0,52464833.0
2024-03-07,755.0,769.0,754.0,760.0,80382406.0
2024-03-08,795.0,796.0,772.0,784.0,98069174.0
2024-03-11,768.0,778.0,761.0,766.0,73436931.0
2024-03-12,757.0,771.0,754.0,770.0,63336798.0
2024-03-13,785.0,785.0,777.0,779.0,43130896.0
2024-03-14,779.0,785.0,770.0,784.0,48964017.0
2024-03-15,771.0,777.0,753.0,753.0,80580846.0
2024-03-18,754.0,765.0,754.0,764.0,46006400.0
2024-03-19,758.0,765.0,755.0,762.0,32078900.0
2024-03-20,764.0,769.0,752.0,758.0,48788389.0
2024-03-21,773.0,784.0,772.0,784.0,47759094.0
2024-03-22,788.0,789.0,775.0,785.0,32629749.0
2024-03-25,783.0,788.0,779.0,780.0,21223414.0
2024-03-26,788.0,792.0,776.0,782.0,43103294.0
2024-03-27,785.0,785.0,779.0,779.0,19732209.0
2024-03-28,774.0,776.0,768.0,769.0,28393398.0
2024-03-29,769.0,781.0,768.0,779.0,20212820.0
